Id;Data;Hora;Hour;Type;Operador;Categoria;Classe;Adults;Children;Bebies;Local Recolha;GPS Recolha;Local Entrega;GPS Entrega;Duration;Distance;Price
AT037705;06/06/2024;10:00;10;;Alto da Colina;Parques Tem?ticos;1 - 4 Pax;2;0;1;Alto da Colina;37.0941384,-8.209068499999999;Zoomarine-Guia;37.1274473,-8.313571399999999;00:19;13;25,00
AT037768;06/06/2024;10:10;10;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;2;0;Alto da Colina;37.0941384, -8.209068499999999;Oura - New Town;37.0862392, -8.223698299999999;00:05;2;6,00
AT037769;06/06/2024;10:10;10;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;2;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT037772;06/06/2024;10:30;10;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;2;0;Alfagar;37.0903633, -8.2093686;Olhos de ?gua;37.1016783, -8.1846768;00:05;3;6,00
AT037770;06/06/2024;10:30;10;;Alto da Colina;Parques Tem?ticos;1 - 4 Pax;2;2;0;Alto da Colina;37.0941384, -8.209068499999999;Zoomarine-Guia;37.1274473, -8.313571399999999;00:19;13;25,00
AT036631;06/06/2024;10:40;10;Chegada;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;;Alfagar;;00:35;38;104,50
AT037774;06/06/2024;10:45;10;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;1;0;Alfagar;37.0903633,-8.2093686;Old Town - Albufeira;37.091608,-8.254527;00:07;4;8,00
AT037775;06/06/2024;11:10;11;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;3;2;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;10,00
AT037752;06/06/2024;11:15;11;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;2;1;0;Alfagar;37.0903633, -8.2093686;Faro Airport;37.02305399999999, -7.970688;00:35;38;55,00
AT037776;06/06/2024;11:15;11;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;2;0;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;8,00
AT037777;06/06/2024;11:40;11;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;3;1;1;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;10,00
AT037773;06/06/2024;12:30;12;;ADM;Interzone;1 - 4 Pax;1;0;0;Alfagar;37.0903633, -8.2093686;Lisboa;38.722317, -9.139328599999999;02:28;258;0,00
AT035322;06/06/2024;13:00;13;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 4-8PAX;2;2;0;Faro Airport;;Alto da Colina;;00:35;38;65,00
AT037783;06/06/2024;13:15;13;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;2;2;0;Old Town - Albufeira;37.091608, -8.254527;Alfagar;37.0903633, -8.2093686;00:07;4;8,00
AT037784;06/06/2024;13:35;13;;Alfa Tours & Transfers;Interzone;Taxi 5 - 8 Pax;6;0;0;Old Town - Albufeira;37.091608, -8.254527;Alto da Colina;37.0941384, -8.209068499999999;00:07;4;10,00
AT037786;06/06/2024;13:50;13;;Alto da Colina;Interzone;Taxi 5 - 8 Pax;4;1;0;Alto da Colina;37.0941384, -8.209068499999999;Oura - New Town;37.0862392, -8.223698299999999;00:05;2;8,00
AT037785;06/06/2024;13:55;13;;Alfa Tours & Transfers;Interzone;Taxi 5 - 8 Pax;3;2;0;Old Town - Albufeira;37.091608, -8.254527;Alfagar;37.0903633, -8.2093686;00:07;4;10,00
AT037787;06/06/2024;14:05;14;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;4;0;0;Old Town - Albufeira;37.091608,-8.254527;Alfagar;37.0903633,-8.2093686;00:07;4;8,00
